0,m=(-0.00037931 +/- 7.08*10^-05), b=(-2.95348 +/- 0.00606)
1,m =(-0.000167665 +/- 3.355*10^-05), b=(0.498595 +/- 0.009013)
2,m=(9.69856*10^-05 +/- 2.169*10^-05), b=(0.598777 +/- 0.00391)
3,m=(-0.0001095 +/- 3.975*10^-05), b=(-1.37029 +/- 0.009464)
4,m=(-0.000126617 +/- 1.448*10^-05), b=(-1.89487 +/- 0.004168)
5,-
6,-
7,-
8,m=(-7.25336*10^-05 +/- 3.212*10^-05), b=(1.40359 +/- 0.00923)
9,m=(1.13575*10^-05 +/- 1.646*10^-05), b=(2.51766 +/- 0.004821)
10,m=(-0.000167358 +/- 5.344*10^-5), b=(0.788233 +/- 0.006349)
11,-
12,-
13,-
14,m =(-0.000291098 +/- 7.274*10^-05), b=(0.703738 +/- 0.01046)
15,m=(-0.000555447 +/- 4.696*10^-05), b=(1.205 +/- 0.005877)
16,m =(-0.000641207 +/- 6.436*10^-05), b=(-1.73768 +/- 0.004189)
17,m=(-0.00034747 +/- 0.0002781), b=(0.638788 +/- 0.09413)
18,m=(-0.000789563 +/- 6.332*10^-05), b=(0.391809 +/- 0.01283)
19,m=(-0.000796836 +/- 0.0001335), b=(-1.89155 +/- 0.02694)
20,-
21,m=(-0.000795766 +/- 5.089*10^-05), b=(2.38846 +/- 0.006545)
22,m=(-0.00169798 +/- 2.174*10^-05), b=(0.160519 +/- 0.004916)
23,m=(-0.00194397 +/- 4.824*10^-05), b=(2.32846 +/- 0.016)
24,m=(-0.00174616 +/- 0.0001105), b=(0.428211 +/- 0.006938)
25,-
26,-
27,m=(-0.000746125 +/- 4.869*10^-05), b=(-0.943954 +/- 0.003142)
28,m=(0.000978529 +/- 3.049*10^-05), b=(-0.474925 +/- 0.00283)
29,m=(0.00104832 +/- 4.08*10^-05), b=(-1.65695 +/- 0.007001)
